timestamp,name,other_names,previous_names,oc_id,,jurisdiction,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,,,,
,Indorama Eleme Petrochemicals Limited,Indorama Eleme Petrochemicals Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subsea7 (Nigeria) Limited,Subsea7 (Nigeria) Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyundai Heavy Industries,Hyundai Heavy Industries,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigerdock Nigeria Plc,Nigerdock Nigeria Plc,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afren Plc,Afren Plc,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,DeltaAfrik Engineering Limited,DeltaAfrik Engineering Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Liquefied Natural Gas Limited (NLNG),Nigeria Liquefied Natural Gas Limited (NLNG),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nigeria Petroleum Development Company Limited (NPDC),Nigeria Petroleum Development Company Limited (NPDC),,,,Nigeria,,,,,,,,,"Odoliyi Lolomari, Director
George Uzoma Ibekwe, Director
Dr. Funsho Adebiyi, Director
Engr. Fisoye Delano, Director
Maj. Gen Abdu-One Mohammed, Director
Joju Fadairo, Director
Hon. Ogbams Ojimah, Director
Barr. Funsho Sa’ad, Director
Abubakar U. Babangida, Director
Azubuike E. Ahubelem, Director
Sunny O. Olawore, Director
Chike Chukwuka, Director","Barkindo Sanusi (62,500,000)
Arokodare M. (62,500,000)
Chukwu Philip (62,500,000)
Omorogbe Philip (62,500,000)",https://drive.google.com/file/d/0B-KlXDOYUc-Oak9uWnZJUDV5emc/edit?usp=sharing,,,,,,,,,,,,,,,
,Warri Refining and Petrochemical Company Limited (WRPC),Warri Refining and Petrochemical Company Limited (WRPC),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sterling Energy & Exploration Production Limited,Sterling Energy & Exploration Production Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exprotech Nigeria Limited,Exprotech Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julius Berger Nigeria Limited,Julius Berger Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dorman Long Engineering Limited,Dorman Long Engineering Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMEC Contractors West Africa Limited,AMEC Contractors West Africa Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wellman & Wellington Company Limited (WWCL),Wellman & Wellington Company Limited (WWCL),,,,Nigeria,,,,,,,,,"Wellman Ndubuisi Onwunali, Director
Chioma Onwunali, Director
Uzodinma Onwunali, Director
Wellington Onwunali, Director
Kelechi Onwunali, Director","Wellman Ndubuisi Onwunali (60,000)
Chioma Onwunali (10,000)
Uzodinma Onwunali (10,000)
Wellington Onwunali (10,000)
Kelechi Onwunali (10,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OQUpYT29ETEVBdFU/edit?usp=sharing,,,,,,,,,,,,,,,
,Sahara Energy Resource Nigeria Limited (SERNL),Sahara Energy Resource Nigeria Limited (SERNL),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global Gas and Refining Limited,Global Gas and Refining Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Aluminum Plc,First Aluminum Plc,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Integrated Power Project.,National Integrated Power Project.,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daewoo Nigeria Limited,Daewoo Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Initiates Limited (TIL),The Initiates Limited (TIL),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plantgeria Company Limited,Plantgeria Company Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petro-Scan Limited,Petro-Scan Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ana Industries Limited,Ana Industries Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,MannProject International Limited,MannProject International Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaduna Refining & Petrochemicals Company (KPRC),Kaduna Refining & Petrochemicals Company (KPRC),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Harcourt Refining Company Limited (PHRC),Port Harcourt Refining Company Limited (PHRC),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chattel Associates Nigeria Limited,Chattel Associates Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,LYK Engineering,LYK Engineering,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Channel Engineering Nigeria Limited,Channel Engineering Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saipem Contracting Nigeria Limited,Saipem Contracting Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slot Engineering Nigeria limited,Slot Engineering Nigeria limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Catobi Nigeria Enterprise Limited,Catobi Nigeria Enterprise Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinopec International Petroleum Exploration and Production Company Nigeria Limited,Sinopec International Petroleum Exploration and Production Company Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Universal Energy Resources Limited,Universal Energy Resources Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Niger Delta Petroleum Resources Limited,Niger Delta Petroleum Resources Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brawal shipping (Nigeria) limited,Brawal shipping (Nigeria) limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sydney Gateway Limited,Sydney Gateway Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Omel Exploration & Production Nigeria Limited,Omel Exploration & Production Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kod Technical Services Nigeria Limited,Kod Technical Services Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cisan International Limited,Cisan International Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boltog  Limited,Boltog  Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amban Nigeria Limited,Amban Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instrutech Limited,Instrutech Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laila Mechanical Engineering Services & Contracting Company Limited (LAMESCO),Laila Mechanical Engineering Services & Contracting Company Limited (LAMESCO),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jeph Kebbi International Limited Company,Jeph Kebbi International Limited Company,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,River Creek Specialist Limited,River Creek Specialist Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nelson Nigeria Limited,Nelson Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Oil Field and Allied Services Limited (NOAS),New Oil Field and Allied Services Limited (NOAS),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aanderaah Nigeria Limited,Aanderaah Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mobil Oil Nigeria Plc,Mobil Oil Nigeria Plc,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Integrated Quality Technologies Limited,Integrated Quality Technologies Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rockson Engineering,Rockson Engineering,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data-Mat Nigeria Limited,Data-Mat Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec Oil & Gas Limited,Dec Oil & Gas Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell Nigeria Gas Limited,Shell Nigeria Gas Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jam Services Company,Jam Services Company,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashland Oil Nigeria Limited,Ashland Oil Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fomoyi Services Nigeria limited,Fomoyi Services Nigeria limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Oil and Chemical Marketing Company Plc (NOLCHEM),National Oil and Chemical Marketing Company Plc (NOLCHEM),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belmont Limited,Belmont Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
