timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdiction_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,document_name,documentation_summary,document_raw,document_url,,,,
,Glencore Energy UK,,,Glencore Energy UK,CBN Appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global Gas and Refining Limited,,,Global Gas and Refining Limited,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global Offshore Drilling Limited,,,Global Offshore Drilling Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grinaker Limited,,,Grinaker Limited,http://www.technip.com/sites/default/files/technip/publications/attachments/Technip_in_Nigeria_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gunvor International,,,Gunvor International,CBN Appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hamilton Technologies Limited,,,Hamilton Technologies Limited,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,,,,,,,,,,,1992,http://hamiltontechnologies.com/index.php/about,"Plot 226, Block C, Phase II, Trans Amadi Industrial Layout, Port Harcourt, Rivers state",,,,,,,,,,,,,,,,,,,,,,,
,Hyprops Nigeria Limited,,,Hyprops Nigeria Limited,http://www.hyprops.com/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyson (Nigeria) Limited,,,Hyson (Nigeria) Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyundai Heavy Industries,,,Hyundai Heavy Industries,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Idmon Engineering and Construction Company Limited,,,Idmon Engineering and Construction Company Limited,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indorama Eleme Petrochemicals Limited,,,Indorama Eleme Petrochemicals Limited,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instrutech Limited,,,Instrutech Limited,http://www.instrutechng.com/Projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Integrated Data Services Limited,,,Integrated Data Services Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Integrated Quality Technologies Limited,,,Integrated Quality Technologies Limited,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inter Global Procurement Engineering Services Limited (IGPES),,,Inter Global Procurement Engineering Services Limited (IGPES),http://www.igpesgroup.com/projects/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International Energy Systems Limited,,,International Energy Systems Limited,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
