Company,Source URL,Confidence
,http://www.globalenergyco.com/milestone.html,Medium 
Hamilton Technologies Limited,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,Medium 
Hyprops Nigeria Limited,http://www.hyprops.com/projects.html,Medium 
Hyson (Nigeria) Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium
Hyundai Heavy Industries,http://www.belloil.com/clients/2014-3/,Medium 
,http://cisaninternational.com/projects.html,Medium 
Instrutech Limited,http://www.instrutechng.com/Projects.html,Medium 
Inter Global Procurement Engineering Services Limited (IGPES),http://www.igpesgroup.com/projects/index.php,Medium 
Jam Services Company,http://www.jamservicesco.com/projects.htm,Medium 
Jeph Kebbi International Limited Company,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,Medium 
Julius Berger Nigeria Limited,http://www.belloil.com/clients/2010-3/,Medium 
,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,Medium 
Kaztec Engineering Limited,http://www.kaztec-eng.com/index.php/2014-01-17-08-24-48/2014-01-17-08-51-17/2014-01-17-09-05-52,Medium 
,http://www.kaztec-eng.com/index.php/2014-01-17-08-24-48/2014-01-17-09-13-56/2014-01-24-08-53-41,Medium 
Korean National Oil Corporation (KNOC),http://www.equatorexploration.com/operations/nigeria_opl_323_and_321.aspx,Medium 
Lighthouse Petroleum Engineering Company Limited (LPEC),http://www.lighthouselaboratories.com/clients.html,Medium 
MannProject International Limited,http://www.mannprojects.com/previous-job/,Medium 
Mirror Lake Oil and Gas Company Limited,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=24673218,Medium
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=52846254,Medium
Mobil Producing Nigeria Unlimited,http://www.bgiresourcesltd.com/index2.php?p=projects,Medium 
,http://primesources.net/projects.html,Medium 
,http://www.hyprops.com/projects.html,Medium 
,http://www.technip.com/en/entities/crestech/experience,Medium 
,http://www.technip.com/sites/default/files/technip/publications/attachments/Technip_in_Nigeria_0.pdf,Medium 
,http://www.jagal.com/latest-news/exxonmobil-hands-out-nigerian-epcm-deal,Low 
,http://wellman-wellington.org/clients.html,Medium 
,http://www.initiatesgroup.com/projectsref-treatmentanddisposal.html,Medium 
,http://petroscanlimited.com/clients.html,Medium 
,http://www.anaindustries.net/projects.php,
,http://www.boltoggroup.com/clients.html,Medium 
,http://www.bintandprathel.com/news/29-bint-a-prathel-ltd-project-with-mobil-on-going-till-2010.html,
,http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=4727307,Medium
Moni Pulo Limited,http://www.oilmapng.com/viewOilBlock_page.php?id=344,Low 
Napoil (Bermuda) Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,Medium
National Engineering and Technical Company Limited (NETCO),http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,Low 
,http://www.technip.com/sites/default/files/technip/publications/attachments/Technip_in_Nigeria_0.pdf,Medium 
,http://www.jagal.com/latest-news/exxonmobil-hands-out-nigerian-epcm-deal/ AND m/page.aspx?pointerid=9eac8137409b49afa6afd6087a255170,Low 
,https://drive.google.com/file/d/0B-KlXDOYUc-OYmlybVRkNGFoTUU/edit,High
National Petroleum Investment Management Services (NAPIMS),http://www.bintandprathel.com/news/32-bint-and-prathel-conducts-5-day-training-for-nnpc-napims.html,
,http://www.oilmapng.com/viewOilBlock_page.php?id=349,Low 
,http://www.oilmapng.com/viewPlayer_page.php?id=77,Low 
Nestoil Plc,http://www.belloil.com/clients/2014-3/,Medium 
,http://www.catobi.com/index1.html,Medium 
,http://www.sydneygateway.com/projects1.html,Medium 
,http://www.nestoilgroup.com/projects.php,
,http://www.thisdaylive.com/articles/nestoil-secures-shell-s-major-pipeline-contract/152200/,Low 
Newcross Petroleum Limited,http://www.bintandprathel.com/news/33-some-of-our-on-going-projects-includes-.html,
,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,
,http://newcrosspet.com/news.php?page=48,Medium 
New Nigeria Development Company Limited (NNDC),http://www.oilmapng.com/viewOilBlock_page.php?id=353,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=354,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=355,Low 
,http://www.oilmapng.com/viewPlayer_page.php?id=86,Low 
